district,area,year,rooms,value,floor,elevator,parking,warehouse
 یوسف‌آباد ,115,1385,2,8100000000,4,True,True,True
 جنت‌آباد مرکزی ,80,1380,2,5000000000,5,True,True,True
 تهران‌سر,115,1401,3,6600000000,2,True,True,True
 دروس ,300,1396,4,36500000000,2,True,True,True
 پاسداران ,97,1399,2,10670000000,3,True,True,True
 اقدسیه ,250,1401,3,66000000000,6,True,True,True
 ولنجک ,310,1382,4,37000000000,5,True,True,True
 کوی فردوس ,120,1399,2,8300000000,3,True,True,True
 کوی فردوس ,53,1395,1,3950000000,2,True,True,True
 چیتگر ,98,1401,2,1176000000,9,True,True,True
 شهرک راه‌آهن ,390,1390,4,38000000000,3,True,True,True
 استاد معین ,113,1401,3,5030000000,1,True,True,True
 جنت‌آباد مرکزی ,155,1398,2,7990000000,3,True,True,True
 جیحون ,78,1383,2,2385000000,3,False,True,True
 چیتگر ,66,1401,2,429000000,10,True,True,True
 صادقیه,75,1400,2,4100000000,3,True,True,True
 صادقیه,120,1401,2,6600000000,4,True,True,True
 ستارخان,150,1401,3,8999000000,2,True,True,True
 جیحون ,106,1398,2,3500000000,6,True,True,True
 جیحون ,108,1371,2,3450000000,1,False,False,False
 شهران جنوبی ,111,1395,2,6400000000,4,True,True,True
 جردن ,158,1383,3,12500000000,1,True,True,True
 فرمانیه ,230,1400,3,41000000000,6,True,True,True
 فرمانیه ,250,1400,3,75000000000,4,True,True,True
 بریانک ,55,1377,1,1590000000,1,False,False,False
 زعفرانیه ,239,1385,3,25000000000,2,True,True,True
 پونک ,75,1389,1,5050000000,1,True,True,True
 شهران شمالی ,110,1394,2,7650000000,5,True,True,True
 محمودیه ,197,1400,3,36000000000,3,True,True,True
 زعفرانیه ,180,1400,3,33000000000,5,True,True,True
 اباذر ,66,1401,2,5610000000,1,True,True,True
 مهرآباد جنوبی ,71,1392,2,2870000000,1,True,True,True
 امیرآباد ,119,1401,2,10600000000,4,True,True,True
 خانی‌آباد نو,140,1401,3,4900000000,2,True,False,False
 آذربایجان ,64,1386,2,2650000000,1,False,False,False
 زعفرانیه ,195,1401,3,33150000000,3,True,True,True
 پاسداران ,180,1380,3,15000000000,4,True,True,True
 سازمان برنامه ,70,1380,2,4550000000,1,False,True,True
 سازمان برنامه ,65,1381,2,3500000000,3,False,True,True
 سازمان برنامه,106,1401,2,9100000000,3,True,True,True
 کوی فردوس ,78,1387,2,4800000000,2,True,True,True
 چیتگر ,100,1401,2,1200000000,12,True,True,True
 کوی فردوس ,77,1381,2,3900000000,4,False,True,True
 کوهک ,108,1401,2,6800000000,10,True,True,True
 پاسداران ,107,1400,1,13375000000,2,True,True,True
 اباذر ,66,1400,2,5940000000,3,True,True,True
 اوقاف ,132,1401,3,6864000000,2,True,True,True
 شهرک نفت (منطقه ۱) ,500,1401,4,60000000000,4,True,True,True
 سعادت‌آباد ,160,1399,3,18800000000,2,True,True,True
 پاسداران ,120,1390,3,10800000000,5,True,True,True
 شهرک غرب ,115,1395,2,10600000000,1,True,True,True
 پونک ,103,1401,2,9300000000,3,True,True,True
 پاسداران ,100,1401,2,8000000000,3,True,True,True
