build_year,neighbour_hood,area,floor,rooms,Parking,Elevator,Warehouse,Luxury_features,price,mean,std,median,amin,amax,neighbour_hood_encoded
1385,باغفیض,100,3.0,2,0,0,0,0,55000000,58092784.5,10742418.088335035,57875939.0,8108000.0,82000000.0,12
1400,امیرآباد,93,2.0,2,1,1,1,1,74700000,80210100.99672131,12461139.369398655,80000000.0,38235000.0,115000000.0,16
1401,دهکدهالمپیک,111,1.0,2,0,0,0,0,30000000,32252708.540447503,12514798.760472782,31000000.0,1000000.0,112909000.0,4
1381,دولت,115,3.0,2,1,1,1,0,73900000,85181467.10526316,14434306.67235159,85000000.0,55400000.0,130000000.0,17
1401,دولت,100,2.0,2,1,1,1,0,100000000,85181467.10526316,14434306.67235159,85000000.0,55400000.0,130000000.0,17
1400,سعادتآباد,104,2.0,2,0,0,0,0,146153846,82825233.46999405,29784174.205726072,77419000.0,8700000.0,204500000.0,17
1400,دریاچهخلیجفارس,98,16.0,2,0,0,0,0,46428571,35829141.71910112,16200804.74731895,38532110.0,12500000.0,72784810.0,5
1401,جنتآبادشمالی,119,2.0,3,0,0,0,1,73529411,56278827.21341463,13533734.616754144,58968715.5,6800000.0,82727272.0,11
1400,آپادانا,117,3.0,3,1,1,1,1,64957000,74370630.09523809,16627320.285810813,80000000.0,48175182.0,100000000.0,16
1391,بلوارفردوس,86,5.0,2,0,0,0,1,66279069,59341145.36082474,11226516.262274269,59859154.0,19285714.0,120000000.0,12
1401,شهرکنفت,123,5.0,2,0,0,0,0,86991869,68279142.0,10960292.036073785,66899038.0,51333333.0,100000000.0,15
1401,اختیاریه,135,5.0,3,1,1,0,0,99300000,85898004.99168053,16435197.312221156,84200000.0,43947000.0,160000000.0,17
1399,فرمانیه,64,3.0,1,1,1,1,0,109375000,122176685.18518518,30659498.346812826,120700000.0,16200000.0,190000000.0,20
1387,بلوارفردوسغرب,56,2.0,1,1,1,1,1,68750000,65997073.82550336,10235266.110435715,65218000.0,15104000.0,105000000.0,14
1390,جنتآبادمرکزی,95,2.0,2,1,1,1,0,58700000,61115740.77374302,10086971.745209087,61950000.0,16504000.0,96700000.0,13
1396,میرداماد,215,3.0,3,0,0,0,0,111000000,90386641.37769784,22519072.703439962,84600000.0,50800000.0,157143000.0,18
1379,سهروردیشمالی,140,4.0,3,1,1,1,0,60714000,81612742.53731343,17450377.914115496,80000000.0,13800000.0,148000000.0,17
1385,سعادتآباد,88,1.0,2,1,0,1,0,60200000,82825233.46999405,29784174.205726072,77419000.0,8700000.0,204500000.0,17
1398,جیحون,39,2.0,1,0,1,1,0,26700000,40378425.76859504,8745338.678313637,42600000.0,16700000.0,55882000.0,6
1396,میدانهفتتیر,90,2.0,2,1,1,1,0,55556000,52901619.047619045,10417368.263991585,54872000.0,13500000.0,69072000.0,9
1385,فرشته,120,1.0,2,1,1,1,1,115000000,120952950.5831435,33940719.24992989,116700000.0,59615384.0,204500000.0,20
1401,دریاچهشهدایخلیجفارس,125,18.0,2,1,1,1,0,41600000,22830528.66242038,12980441.790903542,22250000.0,1542000.0,65515000.0,2
1401,شهرکغرب,150,4.0,3,1,1,0,1,110000000,85593560.17830609,26465865.635044355,80800000.0,7500000.0,200000000.0,17
1401,بلوارفردوسغرب,78,2.0,2,1,1,1,0,67949000,65997073.82550336,10235266.110435715,65218000.0,15104000.0,105000000.0,14
1400,میرداماد,140,5.0,3,1,1,1,1,100000000,90386641.37769784,22519072.703439962,84600000.0,50800000.0,157143000.0,18
1386,نوبنیاد,67,3.0,1,0,0,0,0,64179104,76951823.97142857,10289991.149308456,76804123.0,51666666.0,100000000.0,16
1401,سهروردیجنوبی,125,6.0,3,1,1,1,0,85000000,65052703.7037037,8528946.299327282,65428500.0,47100000.0,85000000.0,14
1397,سلسبیل,67,4.0,1,1,1,1,0,49254000,47850333.333333336,5947956.782152417,48000000.0,32105000.0,56173000.0,8
1395,عباسآباد,44,4.0,1,1,1,1,1,17500000,34250454.95652174,22959560.45256487,20000000.0,11923000.0,84300000.0,4
1401,پاسداران,180,7.0,3,1,1,1,0,70000000,86490141.48275863,21557395.896592565,80000000.0,9915000.0,166667000.0,17
1394,زرگنده,110,4.0,2,0,0,0,0,87272727,76244933.03030303,16579436.2136582,76875000.0,46093750.0,119631901.0,16
1401,آجودانیه,220,5.0,3,1,1,1,0,161400000,117281005.20143884,30616760.28614428,107894736.0,60700000.0,194915000.0,20
1378,شهرکغرب,80,6.0,2,1,1,1,0,93750000,85593560.17830609,26465865.635044355,80800000.0,7500000.0,200000000.0,17
1388,بلوارفردوس,55,1.0,1,1,1,1,0,65500000,59341145.36082474,11226516.262274269,59859154.0,19285714.0,120000000.0,12
1382,جنتآبادجنوبی,66,0.0,2,0,1,1,0,45500000,60135130.005347595,13104643.369948454,60888000.0,843220.0,91666666.0,13
1401,بلوارفردوس,62,4.0,1,0,0,0,0,75806451,59341145.36082474,11226516.262274269,59859154.0,19285714.0,120000000.0,12
1400,چیتگر,85,5.0,2,1,1,1,1,18153000,21499908.051948052,16886269.097524546,14750000.0,2143000.0,82300000.0,1
1388,بلوارفردوسغرب,78,3.0,2,1,1,1,0,60256000,65997073.82550336,10235266.110435715,65218000.0,15104000.0,105000000.0,14
1395,شهرکغرب,90,1.0,2,1,1,1,0,82200000,85593560.17830609,26465865.635044355,80800000.0,7500000.0,200000000.0,17
1385,الهیه,186,1.0,3,1,1,1,0,88700000,119528884.63380282,33129543.164495844,115000000.0,16500000.0,204500000.0,20
1398,فرمانیه,140,4.0,3,1,1,1,0,142900000,122176685.18518518,30659498.346812826,120700000.0,16200000.0,190000000.0,20
1383,شهران,66,1.0,2,0,0,0,0,59848484,60020450.6381323,12174627.440331178,59545454.0,28917647.0,138000000.0,12
1395,نیاوران,115,1.0,2,1,1,1,1,86957000,119301128.8559322,34155648.27073372,120000000.0,21348314.0,200000000.0,20
1386,شهران,54,4.0,1,1,1,1,0,64800000,60020450.6381323,12174627.440331178,59545454.0,28917647.0,138000000.0,12
1399,سعادتآباد,95,2.0,2,1,1,1,0,75000000,82825233.46999405,29784174.205726072,77419000.0,8700000.0,204500000.0,17
1398,بلوارفردوس,80,2.0,2,1,1,1,0,60000000,59341145.36082474,11226516.262274269,59859154.0,19285714.0,120000000.0,12
1401,چیتگرشمالی,155,11.0,2,1,1,1,1,21677000,20934780.269058295,9706239.765193766,21795000.0,2350000.0,60000000.0,1
1392,جنتآبادمرکزی,97,3.0,2,1,1,1,0,71031000,61115740.77374302,10086971.745209087,61950000.0,16504000.0,96700000.0,13
1401,دریاچهشهدایخلیجفارس,85,14.0,2,1,1,1,1,12824000,22830528.66242038,12980441.790903542,22250000.0,1542000.0,65515000.0,2
1394,گیشا,91,3.0,2,0,0,0,0,87912087,90521901.78823529,18060511.48489818,89285714.0,51020408.0,147727272.0,18
1401,آشتیانی,119,3.0,3,0,0,0,0,60924369,46246823.85714286,12531524.029663548,43846153.0,14912280.0,62213114.0,7
1386,ازگل,90,3.0,2,0,0,0,0,61111111,85314911.77173913,20347039.852748655,81100000.0,15959595.0,151351351.0,17
1400,دولت,113,1.0,2,1,1,0,0,90300000,85181467.10526316,14434306.67235159,85000000.0,55400000.0,130000000.0,17
1384,باغفیض,93,5.0,3,0,0,0,0,55913978,58092784.5,10742418.088335035,57875939.0,8108000.0,82000000.0,12
1400,الهیه,210,3.0,2,1,1,1,1,160000000,119528884.63380282,33129543.164495844,115000000.0,16500000.0,204500000.0,20
1401,سهروردیشمالی,193,1.0,3,1,1,1,0,105000000,81612742.53731343,17450377.914115496,80000000.0,13800000.0,148000000.0,17
1401,پونک,67,3.0,1,0,0,0,0,66000000,64268619.23232323,15318423.73151411,64800000.0,6364000.0,117400000.0,13
1396,اباذر,90,1.0,2,1,1,1,0,72222000,68391731.15053764,10896573.186478715,68000000.0,41739130.0,110000000.0,15
1378,جنتآبادمرکزی,55,2.0,1,0,0,1,0,46900000,61115740.77374302,10086971.745209087,61950000.0,16504000.0,96700000.0,13
1387,سعادتآباد,82,1.0,2,1,1,1,0,57900000,82825233.46999405,29784174.205726072,77419000.0,8700000.0,204500000.0,17
1401,سهروردیشمالی,126,3.0,3,1,1,1,0,90000000,81612742.53731343,17450377.914115496,80000000.0,13800000.0,148000000.0,17
1401,همیلاپونک,122,4.0,2,1,1,1,1,114800000,72954166.66666667,22286766.97660528,69700000.0,40000000.0,114800000.0,15
1386,جنتآبادمرکزی,90,3.0,2,1,1,1,1,65222000,61115740.77374302,10086971.745209087,61950000.0,16504000.0,96700000.0,13
1396,فاطمی,87,3.0,2,0,0,0,0,63218390,65088203.4537037,14757932.947273208,65342909.5,29333333.0,130000000.0,14
1394,پارس,81,5.0,2,0,0,0,0,66666666,49426053.23076923,25979482.52074253,46212121.0,12358490.0,202666666.0,9
1370,صادقیه,150,4.0,3,1,0,1,0,31300000,56744126.32911392,16228644.18765565,58181818.0,6800000.0,90000000.0,12
1400,شمسآباد,125,4.0,3,0,0,0,0,58000000,62086905.94444445,8169265.474399596,60816666.5,42100000.0,90810810.0,13
1385,اختیاریه,101,2.0,2,1,1,1,0,82200000,85898004.99168053,16435197.312221156,84200000.0,43947000.0,160000000.0,17
1383,توانیر,138,4.0,3,0,0,0,0,61594202,77745879.42857143,18533690.044371728,80000000.0,17500000.0,115000000.0,16
1385,اختیاریه,158,3.0,3,1,1,1,0,63291000,85898004.99168053,16435197.312221156,84200000.0,43947000.0,160000000.0,17
1385,آجودانیه,210,3.0,4,1,1,1,1,70000000,117281005.20143884,30616760.28614428,107894736.0,60700000.0,194915000.0,20
1384,دربند,190,2.0,4,0,0,0,0,84210526,87552260.21153846,21773516.21710015,86100385.5,24975000.0,140000000.0,18
1382,جنتآبادشمالی,65,4.0,2,0,0,1,0,40000000,56278827.21341463,13533734.616754144,58968715.5,6800000.0,82727272.0,11
